LOCATION,SUBJECT,FREQUENCY,TIME,GDP_MLN_USD,GDP_USD_CAP,LTINT,debt_gdp
SVK,TOT,A,2016,161074.014,29659.331169,0.5433334,67.74002
SVK,TOT,A,2017,163684.591,30097.992379,0.9166667,65.5633
SVK,TOT,A,2018,171886.539,31561.916967,0.8858333,63.46797
SVK,TOT,A,2019,177504.849,32550.322192,0.2475,63.35809
SVK,TOT,A,2020,170854.703,31288.651882,-0.0375,NA
ESP,TOT,A,2006,1362071.029,30704.576922,3.78431,46.09558
ESP,TOT,A,2007,1466711.066,32423.53222,4.306627,42.35281
ESP,TOT,A,2008,1528583.756,33242.245427,4.363732,47.68485
ESP,TOT,A,2009,1488992.726,32112.818687,3.974298,62.65619
ESP,TOT,A,2010,1476808.758,31716.709735,4.250001,67.3768
ESP,TOT,A,2011,1489594.952,31872.363088,5.436894,78.33935
ESP,TOT,A,2012,1483646.902,31724.631513,5.846537,93.4564
ESP,TOT,A,2013,1512074.431,32452.659676,4.561962,106.5573
ESP,TOT,A,2014,1558306.999,33544.352014,2.721831,119.4734
ESP,TOT,A,2015,1621069.826,34929.20969,1.735087,117.0753
ESP,TOT,A,2016,1733213.64,37313.634913,1.393302,117.3305
ESP,TOT,A,2017,1841779.72,39580.188366,1.557866,115.7774
ESP,TOT,A,2018,1905614.461,40780.287322,1.419352,114.5046
ESP,TOT,A,2019,1988354.742,42211.809525,0.6610183,117.3338
ESP,TOT,A,2020,1796199.44,37933.262916,0.3794776,NA
SWE,TOT,A,2006,342150.661,37679.716019,3.704167,59.33917
SWE,TOT,A,2007,373749.881,40855.465147,4.1675,53.72195
SWE,TOT,A,2008,388684.19,42158.465614,3.8875,52.64076
SWE,TOT,A,2009,374814.888,40309.177594,3.25,55.97362
SWE,TOT,A,2010,396283.62,42256.280065,2.893333,53.35091
SWE,TOT,A,2011,421515.998,44608.643898,2.605,53.82554
SWE,TOT,A,2012,432488.303,45432.306926,1.5925,55.14404
SWE,TOT,A,2013,444616.544,46312.293685,2.120833,57.99327
SWE,TOT,A,2014,457507.758,47184.719403,1.72,64.19485
SWE,TOT,A,2015,481170.723,49103.0618,0.7191667,62.32385
SWE,TOT,A,2016,500423.665,50430.174559,0.5191666,61.91907
SWE,TOT,A,2017,522476.825,51947.942867,0.655,60.04974
SWE,TOT,A,2018,544916.384,53553.312077,0.6516666,59.1263
SWE,TOT,A,2019,566045.637,55068.767404,0.04666667,55.44579
SWE,TOT,A,2020,556181.706,53719.497913,-0.03833333,NA
CHE,TOT,A,2006,347559.421,46129.811162,2.517083,49.22662
CHE,TOT,A,2007,386208.981,50804.677376,2.92675,45.67905
CHE,TOT,A,2008,413714.827,53784.37338,2.896833,45.57206
CHE,TOT,A,2009,413468.607,53150.627259,2.202667,44.01712
CHE,TOT,A,2010,429590.099,54809.791037,1.631667,42.63074
CHE,TOT,A,2011,458820.075,57987.486864,1.471667,42.85775
CHE,TOT,A,2012,479280.805,59933.617056,0.6466666,43.37218
CHE,TOT,A,2013,503360.433,62225.11235,0.9491667,42.59903
CHE,TOT,A,2014,524917.015,64103.009758,0.6925,42.46764
CHE,TOT,A,2015,546805.519,66020.20952,-0.06916667,42.37722
CHE,TOT,A,2016,570267.342,68105.138178,-0.362,41.18677
CHE,TOT,A,2017,584052.298,69103.567686,-0.07208333,41.89757
CHE,TOT,A,2018,610525.001,71705.600337,0.03316667,39.73784
CHE,TOT,A,2019,626977.254,73114.493516,-0.489,40.99786
CHE,TOT,A,2020,613920.341,NA,-0.5238333,NA
TUR,TOT,A,2006,944033.702,13623.402879,NA,NA
TUR,TOT,A,2007,1041497.943,14845.034672,NA,NA
TUR,TOT,A,2008,1139548.435,16038.231645,NA,NA
TUR,TOT,A,2009,1113289.469,15453.982835,NA,NA
